0,Age,Embarked_Q,Embarked_S,Fare,Parch,Pclass,Sex_male,SibSp
,23.0,0.0,1.0,263.0,2.0,1.0,0.0,3.0
,20.0,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,18.0,0.0,0.0,227.525,0.0,1.0,0.0,1.0
,25.0,0.0,1.0,7.925,0.0,3.0,0.0,1.0
,51.0,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,30.0,0.0,0.0,27.75,0.0,1.0,1.0,0.0
,10.0,0.0,1.0,27.9,2.0,3.0,1.0,3.0
,30.0,0.0,1.0,8.6625,0.0,3.0,0.0,0.0
,39.0,0.0,1.0,79.65,1.0,1.0,0.0,1.0
,31.0,0.0,1.0,52.0,0.0,1.0,1.0,1.0
,27.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,21.0,0.0,1.0,77.9583,0.0,1.0,0.0,0.0
,18.0,1.0,0.0,6.75,0.0,3.0,0.0,0.0
,38.0,0.0,1.0,7.8958,0.0,3.0,1.0,0.0
,41.0,0.0,1.0,19.5,1.0,2.0,0.0,0.0
,61.0,0.0,1.0,32.3208,0.0,1.0,1.0,0.0
,38.0,0.0,1.0,7.05,0.0,3.0,1.0,0.0
,23.0,0.0,1.0,10.5,0.0,2.0,1.0,0.0
,22.0,0.0,0.0,41.5792,2.0,2.0,0.0,1.0
,33.0,0.0,1.0,8.6542,0.0,3.0,1.0,0.0
,19.0,0.0,1.0,263.0,2.0,1.0,1.0,3.0
,2.0,1.0,0.0,29.125,1.0,3.0,1.0,4.0
,37.0,0.0,1.0,9.5875,0.0,3.0,0.0,0.0
,23.0,0.0,1.0,9.225,0.0,3.0,1.0,0.0
,44.0,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,8.0,1.0,0.0,29.125,1.0,3.0,1.0,4.0
,38.0,0.0,1.0,13.0,0.0,2.0,0.0,0.0
,21.0,0.0,1.0,7.775,0.0,3.0,1.0,0.0
,9.0,0.0,1.0,46.9,2.0,3.0,1.0,5.0
,26.0,0.0,1.0,7.8542,0.0,3.0,1.0,1.0
,1.0,0.0,1.0,11.1333,1.0,3.0,0.0,1.0
,40.0,0.0,1.0,153.4625,0.0,1.0,0.0,0.0
,30.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,3.0,0.0,0.0,41.5792,2.0,2.0,0.0,1.0
,4.0,0.0,1.0,39.0,1.0,2.0,0.0,2.0
,31.0,0.0,1.0,26.25,1.0,2.0,0.0,1.0
,45.0,0.0,1.0,26.25,1.0,2.0,0.0,1.0
,4.0,0.0,1.0,16.7,1.0,3.0,0.0,1.0
,28.0,0.0,1.0,7.8958,0.0,3.0,1.0,0.0
,38.0,0.0,1.0,31.3875,5.0,3.0,0.0,1.0
,45.0,0.0,1.0,7.75,0.0,3.0,0.0,0.0
,56.0,0.0,0.0,35.5,0.0,1.0,1.0,0.0
,47.0,0.0,1.0,9.0,0.0,3.0,1.0,0.0
,64.0,0.0,1.0,263.0,4.0,1.0,1.0,1.0
,19.0,0.0,1.0,53.1,0.0,1.0,1.0,1.0
,30.0,0.0,1.0,16.1,0.0,3.0,1.0,1.0
,50.0,0.0,1.0,10.5,0.0,2.0,0.0,0.0
,2.0,0.0,1.0,31.275,2.0,3.0,0.0,4.0
,4.0,0.0,1.0,11.1333,1.0,3.0,1.0,1.0
,24.0,0.0,1.0,13.0,0.0,2.0,0.0,0.0
,21.0,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,35.0,0.0,1.0,83.475,0.0,1.0,0.0,1.0
,23.0,0.0,1.0,7.8958,0.0,3.0,1.0,0.0
,35.0,0.0,1.0,52.0,0.0,1.0,0.0,1.0
,3.0,0.0,1.0,26.0,1.0,2.0,1.0,1.0
,34.0,0.0,1.0,23.0,1.0,2.0,0.0,0.0
,9.0,0.0,1.0,31.275,2.0,3.0,0.0,4.0
,29.0,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,64.0,0.0,1.0,26.0,0.0,1.0,1.0,0.0
,24.0,0.0,1.0,10.5,0.0,2.0,1.0,0.0
,45.0,0.0,1.0,35.5,0.0,1.0,1.0,0.0
,24.0,0.0,1.0,8.85,0.0,3.0,0.0,0.0
,17.0,0.0,0.0,14.4583,0.0,3.0,0.0,0.0
,28.0,0.0,1.0,7.7958,0.0,3.0,1.0,0.0
,9.0,0.0,1.0,34.375,2.0,3.0,0.0,2.0
,16.0,1.0,0.0,7.7333,0.0,3.0,0.0,0.0
,23.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,23.5,0.0,0.0,7.2292,0.0,3.0,1.0,0.0
,22.0,0.0,1.0,7.25,0.0,3.0,1.0,1.0
,33.0,0.0,1.0,7.8958,0.0,3.0,1.0,0.0
,19.0,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,80.0,0.0,1.0,30.0,0.0,1.0,1.0,0.0
,13.0,0.0,1.0,19.5,1.0,2.0,0.0,0.0
,40.0,0.0,1.0,13.0,0.0,2.0,0.0,0.0
,27.0,0.0,1.0,7.7958,0.0,3.0,1.0,0.0
,33.0,0.0,0.0,8.6625,0.0,3.0,1.0,0.0
,21.0,0.0,1.0,9.825,0.0,3.0,0.0,1.0
,10.0,0.0,1.0,24.15,2.0,3.0,0.0,0.0
,28.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,4.0,0.0,1.0,23.0,1.0,2.0,0.0,1.0
,9.0,0.0,1.0,31.3875,2.0,3.0,1.0,4.0
,45.0,0.0,1.0,26.55,0.0,1.0,1.0,0.0
,70.0,0.0,1.0,71.0,1.0,1.0,1.0,1.0
,18.0,0.0,1.0,7.775,0.0,3.0,0.0,0.0
,23.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,29.0,0.0,1.0,66.6,0.0,1.0,1.0,1.0
,23.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,19.0,0.0,1.0,7.65,0.0,3.0,1.0,0.0
,45.0,0.0,1.0,83.475,0.0,1.0,1.0,1.0
,61.0,0.0,1.0,6.2375,0.0,3.0,1.0,0.0
,30.0,0.0,0.0,7.225,0.0,3.0,1.0,0.0
,32.0,1.0,0.0,7.75,0.0,3.0,1.0,0.0
,31.0,1.0,0.0,7.75,0.0,3.0,1.0,0.0
,19.0,0.0,1.0,26.2833,2.0,1.0,0.0,0.0
,39.0,0.0,1.0,31.275,5.0,3.0,0.0,1.0
,18.0,0.0,1.0,7.775,0.0,3.0,1.0,0.0
,28.0,0.0,1.0,14.4,1.0,3.0,0.0,1.0
,45.0,0.0,1.0,6.975,0.0,3.0,1.0,0.0
,48.0,0.0,1.0,26.55,0.0,1.0,1.0,0.0
,34.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,24.0,0.0,1.0,18.75,3.0,2.0,0.0,2.0
,38.0,0.0,1.0,90.0,0.0,1.0,1.0,1.0
,1.0,0.0,0.0,15.7417,2.0,3.0,0.0,0.0
,11.0,0.0,1.0,31.275,2.0,3.0,0.0,4.0
,51.0,0.0,1.0,26.55,0.0,1.0,1.0,0.0
,36.0,0.0,1.0,7.8958,0.0,3.0,1.0,0.0
,51.0,0.0,0.0,61.3792,1.0,1.0,1.0,0.0
,28.5,0.0,1.0,16.1,0.0,3.0,1.0,0.0
,18.0,0.0,1.0,7.75,0.0,3.0,1.0,0.0
,29.0,0.0,1.0,7.775,0.0,3.0,1.0,0.0
,24.0,0.0,1.0,24.15,0.0,3.0,1.0,2.0
,32.0,0.0,1.0,7.8958,0.0,3.0,1.0,0.0
,56.0,0.0,0.0,83.1583,1.0,1.0,0.0,0.0
,52.0,0.0,1.0,30.5,0.0,1.0,1.0,0.0
,39.0,0.0,1.0,7.925,0.0,3.0,1.0,0.0
,27.0,0.0,1.0,8.6625,0.0,3.0,1.0,0.0
,30.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,50.0,0.0,0.0,28.7125,0.0,1.0,0.0,0.0
,36.0,0.0,1.0,26.0,0.0,2.0,0.0,1.0
,28.0,0.0,1.0,12.65,0.0,2.0,0.0,0.0
,15.0,1.0,0.0,8.0292,0.0,3.0,0.0,0.0
,27.0,0.0,1.0,7.925,0.0,3.0,0.0,0.0
,30.0,0.0,1.0,21.0,0.0,2.0,0.0,3.0
,21.0,0.0,1.0,7.7958,0.0,3.0,1.0,0.0
,0.83,0.0,1.0,18.75,1.0,2.0,1.0,1.0
,39.0,0.0,1.0,31.275,5.0,3.0,1.0,1.0
,32.0,0.0,1.0,7.925,0.0,3.0,1.0,0.0
,66.0,0.0,1.0,10.5,0.0,2.0,1.0,0.0
,70.0,0.0,1.0,10.5,0.0,2.0,1.0,0.0
,22.0,0.0,1.0,7.25,0.0,3.0,1.0,0.0
,9.0,0.0,1.0,27.9,2.0,3.0,0.0,3.0
,16.0,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,30.0,0.0,0.0,56.9292,0.0,1.0,0.0,0.0
,3.0,0.0,1.0,21.075,1.0,3.0,0.0,3.0
,16.0,0.0,1.0,39.4,1.0,1.0,0.0,0.0
,2.0,0.0,1.0,26.0,1.0,2.0,1.0,1.0
,44.0,0.0,0.0,27.7208,0.0,1.0,0.0,0.0
,30.0,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,27.0,0.0,0.0,13.8583,0.0,2.0,0.0,1.0
,19.0,0.0,1.0,26.0,0.0,2.0,0.0,0.0
,40.0,0.0,1.0,27.9,4.0,3.0,1.0,1.0
,19.0,1.0,0.0,6.75,0.0,3.0,1.0,0.0
,27.0,0.0,1.0,30.5,0.0,1.0,1.0,0.0
,42.0,0.0,1.0,27.0,0.0,2.0,1.0,1.0
,57.0,0.0,1.0,10.5,0.0,2.0,0.0,0.0
,21.0,0.0,1.0,7.25,0.0,3.0,1.0,0.0
,25.0,0.0,1.0,7.65,0.0,3.0,1.0,0.0
,18.0,0.0,1.0,79.65,2.0,1.0,0.0,0.0
,7.0,1.0,0.0,29.125,1.0,3.0,1.0,4.0
,42.0,0.0,1.0,8.6625,0.0,3.0,1.0,0.0
,35.0,0.0,1.0,26.0,0.0,2.0,1.0,0.0
,30.0,0.0,1.0,13.0,0.0,2.0,0.0,0.0
,26.0,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,40.0,0.0,0.0,134.5,1.0,1.0,0.0,1.0
,26.0,0.0,0.0,30.0,0.0,1.0,1.0,0.0
,18.0,0.0,1.0,9.35,1.0,3.0,0.0,0.0
,8.0,0.0,1.0,26.25,2.0,2.0,0.0,0.0
,20.0,0.0,1.0,9.8458,0.0,3.0,1.0,0.0
,46.0,0.0,0.0,79.2,0.0,1.0,1.0,0.0
,30.0,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,21.0,0.0,1.0,73.5,0.0,2.0,1.0,2.0
,22.0,0.0,1.0,9.35,0.0,3.0,1.0,0.0
,20.0,0.0,0.0,4.0125,0.0,3.0,1.0,0.0
,28.0,0.0,1.0,13.5,0.0,2.0,1.0,0.0
,36.0,0.0,1.0,7.4958,0.0,3.0,1.0,0.0
,24.0,0.0,1.0,27.0,1.0,2.0,0.0,2.0
,36.0,0.0,1.0,24.15,1.0,3.0,1.0,1.0
,1.0,0.0,1.0,20.575,2.0,3.0,1.0,1.0
,19.0,0.0,1.0,7.8958,0.0,3.0,1.0,0.0
,54.0,0.0,1.0,51.8625,0.0,1.0,1.0,0.0
,28.0,0.0,0.0,24.0,0.0,2.0,0.0,1.0
,22.0,0.0,0.0,7.2292,0.0,3.0,1.0,0.0
,31.0,0.0,1.0,26.25,1.0,2.0,1.0,1.0
,27.0,0.0,0.0,76.7292,0.0,1.0,1.0,0.0
,31.0,0.0,0.0,113.275,0.0,1.0,0.0,1.0
,31.0,0.0,1.0,18.0,0.0,3.0,0.0,1.0
,29.0,0.0,1.0,10.5,0.0,2.0,0.0,0.0
,48.0,0.0,1.0,25.9292,0.0,1.0,0.0,0.0
,23.0,0.0,1.0,7.925,0.0,3.0,0.0,0.0
,35.0,0.0,1.0,53.1,0.0,1.0,0.0,1.0
,47.0,0.0,1.0,7.25,0.0,3.0,1.0,0.0
,32.0,0.0,1.0,26.0,0.0,2.0,1.0,1.0
,22.0,0.0,1.0,7.7958,0.0,3.0,1.0,0.0
,52.0,0.0,1.0,93.5,1.0,1.0,0.0,1.0
,25.0,0.0,1.0,17.8,0.0,3.0,1.0,1.0
,32.5,0.0,1.0,13.0,0.0,2.0,0.0,0.0
,22.0,0.0,1.0,55.0,1.0,1.0,0.0,0.0
,50.0,0.0,0.0,106.425,0.0,1.0,1.0,1.0
,28.0,0.0,1.0,7.8542,0.0,3.0,1.0,0.0
,28.0,0.0,0.0,82.1708,0.0,1.0,1.0,1.0
,39.0,0.0,1.0,26.0,0.0,2.0,1.0,0.0
,31.0,0.0,1.0,20.525,1.0,3.0,0.0,1.0
,17.0,0.0,1.0,7.925,2.0,3.0,0.0,4.0
,29.0,0.0,0.0,7.8958,0.0,3.0,1.0,0.0
,30.0,0.0,1.0,9.5,0.0,3.0,1.0,0.0
,21.0,0.0,1.0,7.8,0.0,3.0,1.0,0.0
,24.0,0.0,1.0,13.0,0.0,2.0,0.0,0.0
,24.0,0.0,1.0,7.8958,0.0,3.0,1.0,0.0
,45.0,0.0,1.0,164.8667,1.0,1.0,0.0,1.0
,38.0,0.0,1.0,8.6625,0.0,3.0,1.0,0.0
,48.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,30.0,0.0,1.0,10.5,0.0,2.0,1.0,0.0
,18.0,0.0,1.0,11.5,0.0,2.0,1.0,0.0
,28.0,0.0,1.0,13.0,0.0,2.0,0.0,0.0
,32.0,0.0,1.0,73.5,0.0,2.0,1.0,2.0
,22.0,0.0,1.0,7.125,0.0,3.0,1.0,0.0
,33.0,0.0,1.0,86.5,0.0,1.0,0.0,0.0
,24.0,0.0,1.0,9.5,0.0,3.0,1.0,0.0
,36.0,0.0,1.0,17.4,0.0,3.0,0.0,1.0
,60.0,0.0,0.0,79.2,1.0,1.0,1.0,1.0
,52.0,0.0,0.0,78.2667,0.0,1.0,0.0,1.0
,21.0,0.0,1.0,11.5,0.0,2.0,1.0,1.0
,22.0,0.0,1.0,10.5167,0.0,3.0,0.0,0.0
,30.5,1.0,0.0,7.75,0.0,3.0,0.0,0.0
,24.0,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,36.0,0.0,1.0,78.85,0.0,1.0,1.0,1.0
,35.0,0.0,1.0,21.0,0.0,2.0,0.0,0.0
,25.0,0.0,1.0,26.0,1.0,2.0,0.0,0.0
,2.0,0.0,1.0,10.4625,1.0,3.0,0.0,0.0
,36.0,0.0,1.0,13.0,0.0,2.0,0.0,0.0
,29.0,0.0,1.0,10.5,0.0,2.0,1.0,0.0
,32.0,0.0,0.0,30.5,0.0,1.0,1.0,0.0
,65.0,0.0,1.0,26.55,0.0,1.0,1.0,0.0
,50.0,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,31.0,0.0,1.0,7.775,0.0,3.0,1.0,0.0
,21.0,0.0,1.0,8.4333,0.0,3.0,1.0,0.0
,19.0,0.0,1.0,7.8542,0.0,3.0,0.0,1.0
,37.0,0.0,1.0,26.0,0.0,2.0,1.0,1.0
,35.0,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,16.0,0.0,1.0,9.5,0.0,3.0,1.0,0.0
,39.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
,27.0,0.0,1.0,10.5,0.0,2.0,0.0,0.0
,47.0,0.0,1.0,14.5,0.0,3.0,0.0,1.0
,17.0,0.0,0.0,7.2292,1.0,3.0,1.0,1.0
,23.0,0.0,1.0,11.5,1.0,2.0,1.0,2.0
,17.0,0.0,1.0,7.0542,0.0,3.0,1.0,1.0
,14.0,0.0,1.0,46.9,2.0,3.0,1.0,5.0
,23.0,0.0,0.0,63.3583,1.0,1.0,1.0,0.0
,19.0,0.0,1.0,36.75,1.0,2.0,1.0,1.0
,54.0,0.0,0.0,59.4,0.0,1.0,0.0,1.0
,41.0,0.0,1.0,14.1083,0.0,3.0,1.0,2.0
,42.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,16.0,0.0,1.0,46.9,2.0,3.0,0.0,5.0
,19.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,28.0,0.0,1.0,22.525,0.0,3.0,1.0,0.0
,30.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0
,35.0,0.0,0.0,512.3292,0.0,1.0,0.0,0.0
,16.0,0.0,1.0,7.775,0.0,3.0,1.0,0.0
,18.0,0.0,1.0,7.7958,0.0,3.0,1.0,0.0
,26.0,0.0,1.0,10.5,0.0,2.0,1.0,0.0
,60.0,0.0,1.0,26.55,0.0,1.0,1.0,0.0
,14.0,0.0,0.0,30.0708,0.0,2.0,0.0,1.0
,27.0,0.0,1.0,53.1,0.0,1.0,1.0,1.0
,7.0,0.0,1.0,39.6875,1.0,3.0,1.0,4.0
,36.0,0.0,1.0,26.3875,0.0,1.0,1.0,0.0
,56.0,0.0,0.0,30.6958,0.0,1.0,1.0,0.0
,54.0,0.0,1.0,14.0,0.0,2.0,1.0,0.0
,42.0,0.0,0.0,227.525,0.0,1.0,0.0,0.0
,43.0,0.0,1.0,46.9,6.0,3.0,0.0,1.0
,20.0,0.0,1.0,9.225,0.0,3.0,1.0,0.0
,34.0,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,30.0,0.0,1.0,12.475,0.0,3.0,0.0,0.0
,22.0,0.0,1.0,7.75,0.0,3.0,0.0,0.0
,23.0,0.0,1.0,7.55,0.0,3.0,0.0,0.0
,17.0,0.0,1.0,57.0,0.0,1.0,0.0,1.0
,31.0,0.0,1.0,8.6833,0.0,3.0,0.0,0.0
,36.0,0.0,1.0,13.0,0.0,2.0,0.0,0.0
,33.0,0.0,1.0,9.5,0.0,3.0,1.0,0.0
,22.0,0.0,0.0,135.6333,0.0,1.0,1.0,0.0
,30.0,0.0,1.0,7.8958,0.0,3.0,1.0,0.0
,22.0,0.0,1.0,7.8958,0.0,3.0,1.0,0.0
,32.0,0.0,1.0,13.0,0.0,2.0,0.0,0.0
,19.0,0.0,1.0,26.0,0.0,2.0,0.0,1.0
,39.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,62.0,0.0,1.0,26.55,0.0,1.0,1.0,0.0
,4.0,0.0,1.0,31.275,2.0,3.0,1.0,4.0
,38.0,0.0,1.0,153.4625,1.0,1.0,1.0,0.0
,43.0,0.0,1.0,211.3375,1.0,1.0,0.0,0.0
,5.0,0.0,0.0,19.2583,1.0,3.0,0.0,2.0
,39.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,49.0,0.0,0.0,76.7292,0.0,1.0,0.0,1.0
,44.0,0.0,1.0,16.1,1.0,3.0,1.0,0.0
,7.0,0.0,1.0,26.25,2.0,2.0,0.0,0.0
,40.5,1.0,0.0,7.75,0.0,3.0,1.0,0.0
,27.0,0.0,0.0,14.4542,0.0,3.0,1.0,1.0
,18.0,0.0,1.0,73.5,0.0,2.0,1.0,0.0
,24.0,0.0,1.0,14.5,2.0,2.0,0.0,0.0
,31.0,0.0,1.0,10.5,0.0,2.0,1.0,0.0
,45.0,0.0,1.0,26.55,0.0,1.0,1.0,0.0
,4.0,0.0,1.0,22.025,2.0,3.0,0.0,0.0
,40.0,0.0,0.0,7.225,0.0,3.0,1.0,0.0
,62.0,0.0,1.0,10.5,0.0,2.0,1.0,0.0
,2.0,0.0,1.0,39.6875,1.0,3.0,1.0,4.0
,18.0,0.0,1.0,9.8417,0.0,3.0,0.0,0.0
,21.0,0.0,1.0,34.375,2.0,3.0,0.0,2.0
,47.0,0.0,1.0,15.0,0.0,2.0,1.0,0.0
,20.0,0.0,1.0,8.6625,0.0,3.0,0.0,0.0
,59.0,0.0,1.0,13.5,0.0,2.0,1.0,0.0
,40.5,0.0,1.0,14.5,2.0,3.0,1.0,0.0
,34.0,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,36.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0
,74.0,0.0,1.0,7.775,0.0,3.0,1.0,0.0
,25.0,0.0,1.0,7.775,0.0,3.0,0.0,0.0
,3.0,0.0,1.0,15.9,1.0,3.0,1.0,1.0
,24.0,0.0,0.0,69.3,0.0,1.0,0.0,0.0
,16.0,0.0,1.0,86.5,0.0,1.0,0.0,0.0
,55.5,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,18.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,62.0,0.0,1.0,26.55,0.0,1.0,1.0,0.0
,22.0,0.0,0.0,7.225,0.0,3.0,1.0,0.0
,24.0,0.0,0.0,83.1583,0.0,1.0,0.0,0.0
,44.0,0.0,0.0,57.9792,1.0,1.0,0.0,0.0
,25.0,0.0,1.0,7.8958,0.0,3.0,1.0,0.0
,26.0,0.0,1.0,7.775,0.0,3.0,1.0,0.0
,33.0,0.0,1.0,26.0,2.0,2.0,0.0,0.0
,35.0,0.0,1.0,10.5,0.0,2.0,1.0,0.0
,21.0,0.0,0.0,262.375,2.0,1.0,0.0,2.0
,37.0,0.0,0.0,29.7,1.0,1.0,1.0,0.0
,20.0,0.0,1.0,7.925,0.0,3.0,1.0,0.0
,25.0,0.0,0.0,41.5792,2.0,2.0,1.0,1.0
,6.0,0.0,1.0,31.275,2.0,3.0,0.0,4.0
,25.0,0.0,0.0,7.225,0.0,3.0,1.0,0.0
,35.0,0.0,1.0,90.0,0.0,1.0,0.0,1.0
,24.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,48.0,0.0,0.0,76.7292,0.0,1.0,1.0,1.0
,16.0,0.0,1.0,18.0,0.0,3.0,1.0,2.0
,48.0,0.0,0.0,39.6,0.0,1.0,0.0,1.0
,26.0,0.0,1.0,7.8958,0.0,3.0,1.0,0.0
,24.0,0.0,1.0,15.85,0.0,3.0,0.0,1.0
,22.0,1.0,0.0,7.75,0.0,3.0,0.0,0.0
,5.0,0.0,1.0,12.475,0.0,3.0,0.0,0.0
,0.75,0.0,0.0,19.2583,1.0,3.0,0.0,2.0
,26.0,0.0,1.0,78.85,0.0,1.0,0.0,0.0
,35.0,0.0,0.0,7.8958,0.0,3.0,1.0,0.0
,31.0,0.0,1.0,7.8542,0.0,3.0,0.0,0.0
,34.0,0.0,1.0,10.5,0.0,2.0,0.0,0.0
,30.0,0.0,1.0,24.15,1.0,3.0,0.0,1.0
,34.0,0.0,1.0,26.55,0.0,1.0,1.0,0.0
,30.0,1.0,0.0,12.35,0.0,2.0,0.0,0.0
,15.0,0.0,0.0,7.2292,1.0,3.0,1.0,1.0
,23.0,0.0,0.0,13.7917,0.0,2.0,0.0,0.0
