,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3364.7045583803565
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1134.3041044968613
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,7592.633325153585
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1138.0942074021623
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6697.80481623981
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,573.254840351412
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,549.3647113338593
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,896.8274092251231
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,725.9377216420326
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,822.3777422797975
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,584.6075552915081
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,14272.69233593301
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5130.6677683602975
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9686.879544155046
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1123.7310627172628
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,766.6964811549551
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3684.574633722428
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1641.4723241124411
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,4822.787595084184
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,6643.209097454721
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,769.2611849313762
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3107.9066515115974
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,10311.499077931156
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,656.5645876065682
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2617.9694364721945
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,6068.613877123902
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4181.807451751344
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1807.0685088771497
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1304.3012263550481
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,4170.149663157068
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,824.5897826549444
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,2020.129892135481
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,9261.137289198894
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,784.7919892625832
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1893.2941623640072
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,6686.273132296081
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,812.5631037499406
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,569.8258470130095
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,267.49462599286016
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6239.303014074812
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,874.6151718094511
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,713.2263290092342
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4683.809584963998
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,721.403813635503
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1380.304169084684
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1049.3052307601629
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1216.5276780295608
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,777.6057889497388
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1124.8207958841758
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,681.2941544938112
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4438.033134750427
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2475.730462316289
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,1834.0709664452133
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,781.3123270955075
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2270.3840133944923
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3118.8197796536733
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4374.0827585730385
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,1909.0213612086027
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,10097.122615617445
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,10246.054314213627
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,908.1146624718858
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5773.935234658044
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,15875.11157759974
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,8683.988048785093
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,967.502472637083
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2189.3460022327854
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,6387.376369722151
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,5457.628012857247
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5400.10626094546
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2853.4982373010207
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5021.553325097771
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,10506.600588534418
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1021.2733461665302
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,744.1096225401125
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,459.2852918677818
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,94.20794780513825
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,2958.0246937353113
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,777.5073974625593
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,5209.41250484463
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1397.2573170990545
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,3014.4921244803845
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1472.1284499627
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,819.1829023135178
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1124.142908114536
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,8883.56743722106
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,710.9328970286733
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,818.6340391374397
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,8662.350796827239
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,4079.6790077608603
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,743.3116228135113
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1161.0134282921535
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,7057.849412668211
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,4435.075578748341
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,3639.9113036950075
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3008.526486545383
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,525.3287703796741
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,4551.217276902031
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3793.957116194222
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1072.8573635523935
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1133.4897473230412
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1572.6707739394715
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,4098.326831482391
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,4661.7764774503285
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,4895.584972741848
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3594.6200816635283
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3929.2030161442376
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,779.0983424908845
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,10500.715824321866
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,831.2319749965609
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,4806.716535684387
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,8742.376101815316
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,675.7339760079167
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,737.3129064844279
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2345.609526023234
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4062.704409670203
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3866.4719444019192
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3500.4838586942224
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,4885.306562878721
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3066.9541043430545
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,744.2773833809078
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,803.0673818294144
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,10995.708088700401
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6208.453229170353
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1460.039601040753
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,808.406005470646
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,13267.073732627223
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,12311.952597766
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,612.3135165268977
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,781.4894808441677
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,6121.469005468491
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,962.3714312034208
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,1773.7377051540184
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3735.1656896172008
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,834.0907798137432
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,945.4589345544227
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,5004.15084607208
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,9094.769156469507
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,1946.5358019369742
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,846.2080016084092
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,1723.9717825097177
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,4045.0570941502756
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1317.3156495113326
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,4599.811682267322
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,4821.857261327223
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6490.772146930771
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,14793.925501573442
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,11743.499560349097
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,12235.665900988111
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,822.9576053695782
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2629.9545124495053
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,3867.9334668509127
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,7040.69909684089
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,1220.0973834776669
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,2033.3364429988105
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,5697.779841552498
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1361.2720118763918
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,9325.770129153741
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,-339.0939140158989
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,10453.750758713588
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,6850.4018596304595
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,13102.403129626175
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3416.9612318293694
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,739.6624871817585
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,14954.595588060232
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,670.0758320247696
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1384.5545046140614
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,4753.594064169625
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,4766.416597303634
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,7024.271805434822
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1430.9533979289117
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1307.0881637947714
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4572.12325576261
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3728.8934897908566
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,2992.179025583082
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1010.1983916685786
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2416.95165983506
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3502.227833780751
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5200.567678797039
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,2764.047660849135
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6600.670232171897
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2443.6717517400502
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,6259.451418190163
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,2949.735414852883
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,3390.471292180824
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,13441.471256359418
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,749.0793940002914
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,2810.4298626667187
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,3658.336802060399
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,14218.599090501491
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,3048.1937994689124
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,2889.561265582637
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,679.2195569171072
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,272.03650290262703
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,947.1480832170364
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,7076.458344867477
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,12061.381068847259
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5114.995861849897
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,963.2590164445319
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,2398.293352665438
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,6548.300898580375
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,3205.3118191199246
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,849.1085010229435
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,816.0143001599226
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2121.2949140916153
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,6368.853096099463
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,8154.130561790895
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,5908.656612236645
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,609.6851424077176
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,644.5701583061818
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,697.6222963109103
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2380.971163072627
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1110.6951689237758
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,912.8955551419804
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,3447.8148601790163
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1187.6174124982244
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,6882.467344569981
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1140.5416016221752
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3292.4190526879497
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1257.3702195794285
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,4046.6694706706876
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,690.929385457388
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,4513.746880206567
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7506.05641720727
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,4223.263565240772
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,6868.253152963682
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,3319.616809919604
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,1795.0712285528498
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3140.71478876541
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,651.4047015865108
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,3075.4230742332056
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,6260.82922603147
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,8519.641727455373
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,8011.510231808956
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,2531.815453997362
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1321.1944855656457
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1441.8546188989963
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,1274.8730390365545
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,688.8574451297554
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1364.5790997000877
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2371.919164805964
273,1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,10572.885978686663
274,1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,8254.021492423759
275,1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5460.517964714389
276,0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,1365.9656625390198
277,0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,1179.7290160656921
278,0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,897.1261967720384
279,0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,838.9485868484953
280,1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,6053.0193100528995
281,0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,1025.965980111123
282,0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,1059.8702214885507
283,0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1170.9081017413482
284,0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,546.455673034472
285,1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,11164.847841666837
286,1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,7196.737808900389
287,1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,6141.87256685429
288,1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,9928.400808143699
289,0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,711.7945788444758
290,2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,18271.927872600594
291,1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,5221.971534670993
292,0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,911.1290830215457
293,2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,14445.187135259352
294,0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,2168.5922507444884
295,1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,1974.875149101419
296,1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,10028.493461568938
297,0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,953.460388092044
298,1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,11036.182021956352
299,0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,78.31931119606088
300,1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,5542.774313845454
301,0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,895.9619441032701
302,1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,2623.719149246508
303,1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,8670.466493984757
304,1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,6409.268767165828
305,2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,15532.819741085787
306,0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,2700.371304965809
307,0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,5817.673012952593
308,0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,491.7463392438767
309,1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,5194.528794135229
