,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5801.682188352992
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4101.9551135777265
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1968.7990841767228
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1106.308334275633
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3970.9888973055495
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1397.0147168499257
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1695.5742285952363
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,10254.364873846569
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,659.9284344035129
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1908.966634762628
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,5906.141483627924
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,964.8194322380315
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,634.7488335440908
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,620.3196574143146
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,5965.94866578781
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,576.4383426993658
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,806.6263463044706
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3951.907748714315
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,615.6932894748638
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1606.4939081352256
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1409.1495704132499
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1463.9266113195106
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,831.75210196647
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1203.326428403514
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,636.446924144463
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4323.834125311992
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2557.936580374962
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2169.6982016907523
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,567.6364139473277
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2358.153960631518
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3139.3634804418116
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4318.929541264907
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2223.963613102745
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,10452.96309863738
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,10213.599810234771
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1254.48359226751
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5398.104106033095
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,17196.474389724564
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,7244.828439449891
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1127.0669807455538
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2557.357306487419
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5630.515122406263
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,5357.645886749778
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5233.7237848918685
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2933.199643267088
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,4915.736081266445
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,10996.951722368876
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1221.7753832472172
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,716.4207459986974
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,455.1145565072701
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,671.9991036679985
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3030.575840332017
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,813.6697853759845
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,4638.685444322269
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1702.262489747393
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,3193.525434119132
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1716.499208047627
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,419.6111968443881
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1169.1125010949963
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,7718.965098222694
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,610.6714521530322
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1028.5740639416847
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,8861.80850237706
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,4262.346143881708
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,688.1045273954022
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1342.5072677906796
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,6367.09423368004
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,4151.126198293165
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,2697.3378616842415
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3111.3958624455154
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,563.5914936309981
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,4570.853591580319
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3619.251739432489
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1234.2857334409157
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1217.0013141171496
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1698.015389301152
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,4138.976872609748
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,4906.755709355658
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5074.450797895362
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3409.7302897858567
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3585.835282017122
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,625.6728020577995
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,9260.097909257618
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,776.2609463830776
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5247.973857692147
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,7128.823432631759
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,483.3112945545802
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,929.1767566178124
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2270.3558654177136
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,3841.738125985821
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3795.0749027246534
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3508.1601906675887
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,4679.51097259563
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3029.2431535142
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1027.0838244042127
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,751.947679958848
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,10770.799927691378
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,5922.49813829897
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1598.64142826334
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,593.0845744662865
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,13109.499114931734
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,11703.425375285155
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,677.7072852386307
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1353.082565080388
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,5878.793013125561
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,640.6342585395627
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,1961.2294622722357
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3621.8027339323176
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,1061.5277750212579
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,767.6874686016032
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,4954.168068729786
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,8466.531736786557
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,2023.5511859916476
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,780.4756290582503
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2044.780152182424
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,3973.694833000048
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1460.2822324653532
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,4282.557044313452
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5102.741347947112
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6213.1209201084475
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,16093.678092851504
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,11897.012229314632
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,11496.252594747677
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,581.2513591237928
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2634.551051383425
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,3594.6531388112394
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,10593.704438597959
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,1321.8649212915277
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,2206.941184075052
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,5218.745678998126
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1597.7470271945228
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,9460.134212479112
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,1152.927600728653
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,9638.200862837612
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,6224.55042970439
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,12094.980402597022
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3251.711494825576
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,964.8688391777447
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,15877.76807661841
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,650.6669362979515
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1569.2873811490297
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,3918.5425424878654
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,4438.193076907792
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,6571.915534708287
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1510.173501909979
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1483.233780905722
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4114.893998934802
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3630.7079547605754
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,2974.447966902668
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1313.0612350101742
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2692.7097543201903
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3715.654656330939
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5244.68470433502
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,2644.255837077019
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6362.063165408476
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2681.9191052020137
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,6333.384040032649
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,2646.5343149344467
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,3473.758945783079
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,14427.630712726952
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,931.9365091469838
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,3136.9713149603
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,3535.721785737215
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,15488.041718526381
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,2920.8810505008373
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3093.9089156142645
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,959.0559310936372
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,711.527787432545
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,777.8056536247884
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,6831.555582095528
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,12542.869782517828
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5008.442610932961
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1212.1719115179458
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,2724.004521032057
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,6149.239277777962
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,2073.290855757147
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,829.2654446861008
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,733.109229409502
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2285.4724021674942
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,6940.34302435525
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,7263.387308066321
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,5467.999138162421
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,400.97700865939237
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,497.3211041666235
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,970.566511215091
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2383.2254758950207
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1282.5042082188816
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,630.4742520218773
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,4457.281653957068
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1271.653172438492
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,8067.640551267083
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1361.4329251579998
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3421.2498952372407
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1329.7430980395725
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,4103.456870055411
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,632.9366985659548
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,4378.844330313832
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7227.158680305102
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,3778.5565827526143
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,5904.419892952711
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,3525.8492359180163
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,2027.3948016813736
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3136.371630191052
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,570.2329568245921
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,2961.8862248282503
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,6130.918472803223
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,8468.851955812268
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,8674.204075436279
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,2549.4124970639236
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1345.776303745245
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1559.2094827849476
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,1406.9546789410592
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,844.1989087374182
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1478.4551691969266
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2658.327321144818
273,1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,9303.91028022792
274,1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,7883.261882465303
275,1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5204.126609952435
276,0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,1296.2930440368948
277,0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,1216.2212715215348
278,0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,1076.9432073857015
279,0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,641.6514861081005
280,1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,6261.843575786509
281,0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,1104.9919035199634
282,0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,1093.5103375150866
283,0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1370.6896238629488
284,0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,667.3367012744475
285,1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,11404.945478975715
286,1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,6866.812872600544
287,1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,5749.116444703657
288,1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,10492.065764242263
289,0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,888.3785042582306
290,2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,21063.33551018856
291,1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,4965.561631728808
292,0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,705.1321328713003
293,2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,15773.266702444545
294,0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,2342.974805841296
295,1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,2041.6703469409133
296,1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,10851.621770208545
297,0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,964.2584176602933
298,1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,11151.132754334814
299,0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,580.8560932179063
300,1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,5554.021804075147
301,0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,1026.7368642870176
302,1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,2654.876963645689
303,1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,7436.762393409216
304,1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,5825.832942835359
305,2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,14720.362047270288
306,0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,2669.4993713996464
307,0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,4917.632043736313
308,0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,506.8433234902776
309,1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,3913.491488969768
310,2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,14524.349672771032
